filename,polygon,zip_url
BLAN86.zip,"49.2561 16.6041 49.2561 16.6412 49.2764 16.6412 49.2764 16.6041 49.2561 16.6041",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN86.zip
BLAN88.zip,"49.2204 16.61 49.2204 16.6471 49.2406 16.6471 49.2406 16.61 49.2204 16.61",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN88.zip
BLAN90.zip,"49.361 16.5521 49.361 16.5893 49.3813 16.5893 49.3813 16.5521 49.361 16.5521",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN90.zip
BLAN91.zip,"49.3431 16.5551 49.3431 16.5923 49.3634 16.5923 49.3634 16.5551 49.3431 16.5551",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN91.zip
BLAN93.zip,"49.3073 16.561 49.3073 16.5982 49.3276 16.5982 49.3276 16.561 49.3073 16.561",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN93.zip
BLAN95.zip,"49.2716 16.567 49.2716 16.6041 49.2919 16.6041 49.2919 16.567 49.2716 16.567",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN95.zip
BLAN96.zip,"49.2537 16.57 49.2537 16.6071 49.274 16.6071 49.274 16.57 49.2537 16.57",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN96.zip
BLAN98.zip,"49.2179 16.5759 49.2179 16.613 49.2382 16.613 49.2382 16.5759 49.2179 16.5759",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN98.zip
BLAT00.zip,"49.5189 14.0538 49.5189 14.0918 49.5399 14.0918 49.5399 14.0538 49.5189 14.0538",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAT00.zip
BLAT01.zip,"49.5011 14.0577 49.5011 14.0957 49.5221 14.0957 49.5221 14.0577 49.5011 14.0577",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAT01.zip
BILO24.zip,"49.7507 18.1257 49.7507 18.1627 49.7706 18.1627 49.7706 18.1257 49.7507 18.1257",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO24.zip
BILO26.zip,"49.7149 18.1305 49.7149 18.1675 49.7348 18.1675 49.7348 18.1305 49.7149 18.1305",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO26.zip
BILO28.zip,"49.6791 18.1354 49.6791 18.1723 49.6989 18.1723 49.6989 18.1354 49.6791 18.1354",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO28.zip
BILO29.zip,"49.6612 18.1378 49.6612 18.1747 49.681 18.1747 49.681 18.1378 49.6612 18.1378",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO29.zip
BERO81.zip,"50.0416 14.0085 50.0416 14.047 50.0625 14.047 50.0625 14.0085 50.0416 14.0085",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BERO81.zip
BERO83.zip,"50.006 14.0164 50.006 14.0549 50.0269 14.0549 50.0269 14.0164 50.006 14.0164",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BERO83.zip
BERO84.zip,"49.9882 14.0204 49.9882 14.0589 50.0091 14.0589 50.0091 14.0204 49.9882 14.0204",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BERO84.zip
BENE60.zip,"49.9187 14.4578 49.9187 14.4961 49.9396 14.4961 49.9396 14.4578 49.9187 14.4578",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE60.zip
BENE61.zip,"49.9009 14.4616 49.9009 14.4998 49.9218 14.4998 49.9218 14.4616 49.9009 14.4616",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE61.zip
